region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;age;sex
Syrdarya region;55893;55556;56205;57728;59505;61266;62361;63543;64535;65754;66779;67436;8-15;male
Tashkent region;178416;175692;176087;181032;187544;196085;202182;208075;211026;210442;215743;218587;8-15;male
Fergana region;231960;227704;227145;233893;241062;250074;257743;265368;268560;276834;285468;289951;8-15;male
Khorezm region;124298;123098;124387;126451;128473;133238;136029;138981;140420;144040;147829;149548;8-15;male
Tashkent city;136280;136005;137741;141696;148252;157138;162489;168589;178576;188882;192629;195000;8-15;male
Republic of Karakalpakstan;32751;33461;32389;32127;33482;32509;31609;31105;31824;31768;31894;34208;16-17;male
Andijan region;59936;55401;52967;50371;46955;45311;46221;45669;45785;48041;48567;52486;16-17;male
Bukhara region;34860;32475;30573;28834;28244;28624;28974;28524;28617;29589;30315;31614;16-17;male
Jizzakh region;28387;26904;24666;23318;23393;23334;23501;23110;23247;24240;24356;24966;16-17;male
Kashkadarya region;69667;65833;59182;57799;58131;55718;54210;54591;53908;53045;53264;56476;16-17;male
Navoi region;17640;16546;15217;14697;14638;14493;14795;14733;15015;15623;15914;16751;16-17;male
Namangan region;57081;52214;47193;44673;42943;41928;42829;42991;42735;43203;43248;48003;16-17;male
Samarkand region;78197;74353;67456;63006;62855;61769;63190;62701;62311;63919;67238;70187;16-17;male
Surkhandarya region;55098;54667;50277;45591;45192;43343;43092;43284;42073;42439;43733;45820;16-17;male
Syrdarya region;15368;14962;14411;13713;13532;13513;14021;14033;13591;13920;14671;15821;16-17;male
Tashkent region;53882;51373;47891;44206;42161;41404;42260;42613;43939;44064;44466;48529;16-17;male
Fergana region;72718;68004;63664;59295;55700;53159;54651;55187;57027;59034;58699;65327;16-17;male
Khorezm region;33085;32758;31573;31126;31695;30373;30121;29872;30215;30930;31501;34306;16-17;male
Tashkent city;37447;36693;35859;34289;33144;32702;33614;34805;37486;40555;41825;45119;16-17;male
Republic of Karakalpakstan;35185;32706;32564;33286;32232;32002;33367;32405;31478;30852;31595;31578;18-19;male
