Bundesland;Stadt;Kreis / Landkreis;FreizügG/EU_m;FreizügG/EU_w; Niederlassungserlaubnis_m; Niederlassungserlaubnis_w;Befristete_AE_m;Befristete_AE_w;Ausbildung_m;Ausbildung_w;Erwerb_m;Erwerb_w;AE_human_m;AE_human_w;AE_family_m;AE_family_w;NVisa_m;NVisa_w;Antrag_m;Antrag_w;Duldung_m;Duldung_w;AEgestattung_m;AEgestattung_w;OhneAT_m;OhneAT_w
Baden-Württemberg;Hohenlohekreis;;0;0;5;10;5;5;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0
Baden-Württemberg;Schwäbisch Hall; Landkreis;0;0;5;5;10;10;0;0;5;0;0;0;5;10;0;0;0;0;0;0;0;0;5;0
Baden-Württemberg;Main-Tauber-Kreis;;0;0;0;0;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0
Baden-Württemberg;Heidenheim; Landkreis;0;0;0;5;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5
Baden-Württemberg;Ostalbkreis;;0;0;5;5;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Baden-Württemberg;Baden-Baden; kreisfreie Stadt;0;0;5;20;5;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Baden-Württemberg;Karlsruhe; kreisfreie Stadt;0;0;30;40;10;20;0;0;5;5;0;5;5;10;0;0;0;0;0;0;0;0;5;0
Baden-Württemberg;Karlsruhe; Landkreis;0;0;10;20;5;10;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;15;0
Baden-Württemberg;Rastatt; Landkreis;0;0;5;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Baden-Württemberg;Heidelberg; kreisfreie Stadt;0;0;5;10;10;10;0;5;5;0;0;0;5;5;0;0;5;5;0;0;0;0;0;0
Baden-Württemberg;Mannheim; kreisfreie Stadt;0;0;10;15;15;5;0;0;10;0;0;0;5;5;0;0;5;5;0;0;0;0;10;5
Baden-Württemberg;Neckar-Odenwald-Kreis;;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Baden-Württemberg;Rhein-Neckar-Kreis;;0;0;10;10;5;15;0;0;0;0;0;0;5;10;0;0;5;5;0;0;0;0;5;5
Baden-Württemberg;Pforzheim; kreisfreie Stadt;0;0;10;10;5;10;0;5;0;0;0;5;0;5;0;0;5;5;0;0;0;0;10;0
Baden-Württemberg;Calw; Landkreis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
